treatment_id,algorithm,use_masking,seed,split_id,episode_reward_mean,episode_reward_std,max_waiting_mean,max_waiting_std,avg_waiting_mean,avg_waiting_std,max_slowdown_mean,max_slowdown_std,avg_slowdown_mean,avg_slowdown_std,avg_turnaround_mean,avg_turnaround_std,cpu_utilization_mean,cpu_utilization_std,gpu_utilization_mean,gpu_utilization_std,decision_count_mean,decision_count_std,decision_latency_mean_ms_mean,decision_latency_mean_ms_std,eval_wall_s_mean,eval_wall_s_std
a2c__mask_false,a2c,False,16843,deeplearn_job_r70,-8512867.572679,,30684.000000,,824.606004,,2290.900000,,3.674996,,11225.512567,,0.115757,,0.255510,,620307.000000,,4.794959,,4532.947321,
a2c__mask_false,a2c,False,20603,deeplearn_job_r70,-8482680.857210,,30606.000000,,866.826852,,2977.300000,,3.688594,,11306.783507,,0.115535,,0.255094,,619767.000000,,4.643839,,6155.208187,
a2c__mask_false,a2c,False,21095,deeplearn_job_r70,-8543414.928529,,30684.000000,,822.031538,,2290.900000,,3.664484,,11258.095613,,0.116020,,0.256391,,620449.000000,,4.652178,,3889.123062,
a2c__mask_false,a2c,False,21385,deeplearn_job_r70,-8521763.888857,,30684.000000,,825.058965,,2290.900000,,3.673511,,11220.106082,,0.115774,,0.255549,,620341.000000,,4.983843,,4437.136648,
a2c__mask_false,a2c,False,35474,deeplearn_job_r70,-8485515.829631,,30684.000000,,795.642748,,2290.900000,,3.645447,,11223.900094,,0.115589,,0.255174,,619874.000000,,4.780404,,5810.471960,
a2c__mask_false,a2c,False,45765,deeplearn_job_r70,-8505577.379180,,30684.000000,,810.709115,,2290.900000,,3.663364,,11225.496253,,0.115652,,0.255269,,620057.000000,,4.934720,,5384.701692,
a2c__mask_false,a2c,False,57434,deeplearn_job_r70,-8505319.767033,,30684.000000,,820.606962,,2290.900000,,3.664605,,11225.597847,,0.115686,,0.255320,,620173.000000,,6.104291,,5785.212504,
a2c__mask_false,a2c,False,170797,deeplearn_job_r70,-564930.572272,,4941648.000000,,35361.001268,,394401.200000,,632.546904,,45927.008130,,0.112805,,0.251299,,620664.000000,,4.663622,,3462.199138,
a2c__mask_false,a2c,False,210169,deeplearn_job_r70,-8493588.755924,,30684.000000,,804.387787,,2290.900000,,3.657916,,11223.963905,,0.115629,,0.255235,,619988.000000,,4.691395,,5467.815542,
a2c__mask_false,a2c,False,250564,deeplearn_job_r70,-8505948.446229,,30684.000000,,808.630491,,2290.900000,,3.659468,,11224.872964,,0.115645,,0.255259,,620036.000000,,4.698912,,5297.519277,
