metric,treatment_a,treatment_b,delta,p_value
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-113740.640731,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-113169.875700,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-112599.110668,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-112028.345637,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-111457.580605,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-110886.815574,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-110316.050543,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-109745.285511,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-109174.520480,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-108603.755448,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-108032.990417,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-107462.225386,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-106891.460354,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-106320.695323,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-105749.930291,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-105179.165260,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-104608.400229,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-104037.635197,0.003906
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-103466.870166,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-102896.105134,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-102325.340103,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-101754.575072,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-101183.810040,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-100613.045009,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-100042.279977,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-99471.514946,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-98900.749914,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-98329.984883,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-97759.219852,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-97188.454820,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-96617.689789,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-96046.924757,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-95476.159726,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-94905.394695,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-94334.629663,0.009766
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-93763.864632,0.009766
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-93193.099600,0.009766
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-92622.334569,0.009766
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-92051.569538,0.009766
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-91480.804506,0.009766
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-90910.039475,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-90339.274443,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-89768.509412,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-89197.744381,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-88626.979349,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-88056.214318,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-87485.449286,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-86914.684255,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-86343.919224,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-85773.154192,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-85202.389161,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-84631.624129,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-84060.859098,0.019531
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-83490.094066,0.019531
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-82919.329035,0.019531
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-82348.564004,0.019531
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-81777.798972,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-81207.033941,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-80636.268909,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-80065.503878,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-79494.738847,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-78923.973815,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-78353.208784,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-77782.443752,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-77211.678721,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-76640.913690,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-76070.148658,0.037109
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-75499.383627,0.037109
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-74928.618595,0.037109
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-74357.853564,0.037109
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-73787.088533,0.037109
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-73216.323501,0.037109
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-72645.558470,0.048828
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-72074.793438,0.064453
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-71504.028407,0.064453
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-70933.263376,0.064453
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-70362.498344,0.064453
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-69791.733313,0.064453
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-69220.968281,0.064453
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-68650.203250,0.083984
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-68079.438219,0.083984
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-67508.673187,0.083984
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-66937.908156,0.083984
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-66367.143124,0.105469
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-65796.378093,0.105469
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-65225.613061,0.105469
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-64654.848030,0.105469
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-64084.082999,0.105469
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-63513.317967,0.130859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-62942.552936,0.160156
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-62371.787904,0.160156
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-61801.022873,0.160156
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-61230.257842,0.160156
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-60659.492810,0.160156
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-60088.727779,0.193359
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-59517.962747,0.193359
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-58947.197716,0.193359
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-58376.432685,0.232422
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-57805.667653,0.275391
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-57234.902622,0.275391
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-56664.137590,0.322266
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-56093.372559,0.322266
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-55522.607528,0.322266
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-54951.842496,0.322266
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-54381.077465,0.375000
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-53810.312433,0.431641
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-53239.547402,0.431641
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-52668.782371,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-52098.017339,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-51527.252308,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-50956.487276,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-50385.722245,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-49814.957213,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-49244.192182,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-48673.427151,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-48102.662119,0.492188
