metric_name,treatment_a,treatment_b,ci_low,ci_high,alpha,achieved_alpha,method,n_pairs
avg_waiting,a2c__mask_false,dqn__mask_false,-81545.902522,6557.887324,0.050000,0.048828,exact,10
avg_waiting,a2c__mask_false,maskable_a2c__mask_true,-122511268.398619,30.493117,0.050000,0.048828,exact,10
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-72298.748780,-10659.195479,0.050000,0.048828,exact,10
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,-40.659839,17238.226708,0.050000,0.048828,exact,10
avg_waiting,a2c__mask_false,ppo__mask_false,-11.898716,17271.050708,0.050000,0.048828,exact,10
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,-122500310.347210,498.157498,0.050000,0.048828,exact,10
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-72929.693125,18002.445788,0.050000,0.048828,exact,10
avg_waiting,dqn__mask_false,maskable_ppo__mask_true,-30.044239,81542.540536,0.050000,0.048828,exact,10
avg_waiting,dqn__mask_false,ppo__mask_false,-0.668612,81574.877550,0.050000,0.048828,exact,10
avg_waiting,maskable_a2c__mask_true,maskable_dqn__mask_true,-47940.960336,122424827.172969,0.050000,0.048828,exact,10
avg_waiting,maskable_a2c__mask_true,maskable_ppo__mask_true,-16.343735,122511247.578538,0.050000,0.048828,exact,10
avg_waiting,maskable_a2c__mask_true,ppo__mask_false,12.851297,122511277.068802,0.050000,0.048828,exact,10
avg_waiting,maskable_dqn__mask_true,maskable_ppo__mask_true,10662.030923,74170.494751,0.050000,0.048828,exact,10
avg_waiting,maskable_dqn__mask_true,ppo__mask_false,10682.411646,74212.016438,0.050000,0.048828,exact,10
avg_waiting,maskable_ppo__mask_true,ppo__mask_false,20.882227,34.898628,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,dqn__mask_false,-1773.876557,0.028364,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,maskable_a2c__mask_true,-3350155.130916,0.137900,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,maskable_dqn__mask_true,-1411.067627,-123.102349,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,maskable_ppo__mask_true,0.012043,314.441155,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,ppo__mask_false,-0.006704,314.442007,0.050000,0.048828,exact,10
avg_slowdown,dqn__mask_false,maskable_a2c__mask_true,-3349715.085770,2.076330,0.050000,0.048828,exact,10
avg_slowdown,dqn__mask_false,maskable_dqn__mask_true,-1260.530087,754.119491,0.050000,0.048828,exact,10
avg_slowdown,dqn__mask_false,maskable_ppo__mask_true,0.016830,1773.916269,0.050000,0.048828,exact,10
avg_slowdown,dqn__mask_false,ppo__mask_false,0.000715,1773.895417,0.050000,0.048828,exact,10
avg_slowdown,maskable_a2c__mask_true,maskable_dqn__mask_true,-979.929737,3348503.355790,0.050000,0.048828,exact,10
avg_slowdown,maskable_a2c__mask_true,maskable_ppo__mask_true,-0.052470,3350155.149465,0.050000,0.048828,exact,10
avg_slowdown,maskable_a2c__mask_true,ppo__mask_false,-0.061618,3350155.150429,0.050000,0.048828,exact,10
avg_slowdown,maskable_dqn__mask_true,maskable_ppo__mask_true,173.745742,1434.586978,0.050000,0.048828,exact,10
avg_slowdown,maskable_dqn__mask_true,ppo__mask_false,173.725038,1434.543786,0.050000,0.048828,exact,10
avg_slowdown,maskable_ppo__mask_true,ppo__mask_false,-0.049010,0.000612,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,dqn__mask_false,-12504473.500000,0.000000,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,maskable_a2c__mask_true,-255502814.000000,-368.000000,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,maskable_dqn__mask_true,-27760581.000000,-9727094.500000,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,maskable_ppo__mask_true,-878.500000,2454739.000000,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,ppo__mask_false,-39.000000,2455482.000000,0.050000,0.048828,exact,10
max_waiting,dqn__mask_false,maskable_a2c__mask_true,-241841153.000000,9723145.500000,0.050000,0.048828,exact,10
max_waiting,dqn__mask_false,maskable_dqn__mask_true,-26802771.500000,-3460776.000000,0.050000,0.048828,exact,10
max_waiting,dqn__mask_false,maskable_ppo__mask_true,-802.000000,12503705.500000,0.050000,0.048828,exact,10
max_waiting,dqn__mask_false,ppo__mask_false,0.000000,12504473.500000,0.050000,0.048828,exact,10
max_waiting,maskable_a2c__mask_true,maskable_dqn__mask_true,-26994573.500000,225036240.000000,0.050000,0.048828,exact,10
max_waiting,maskable_a2c__mask_true,maskable_ppo__mask_true,-218.500000,255502124.000000,0.050000,0.048828,exact,10
max_waiting,maskable_a2c__mask_true,ppo__mask_false,598.500000,255502897.000000,0.050000,0.048828,exact,10
max_waiting,maskable_dqn__mask_true,maskable_ppo__mask_true,9726264.000000,28942357.000000,0.050000,0.048828,exact,10
