Trace,Algorithm,Backfill,Avg Wait (s),Avg Slowdown,Avg Turnaround (s)
Physical,LCFS,True,"**2,052**",5.90,"**10,794**"
,,False,"2,090",**5.88**,"10,832"
,SJF,True,"2,183",**5.53**,"10,925"
,,False,"**2,176**",8.14,"**10,918**"
,UNICEP,True,"**2,190**",**7.30**,"**10,932**"
,,False,"2,499",15.87,"11,241"
Deeplearn,LCFS,True,**860**,**3.52**,"**11,427**"
,,False,912,3.75,"11,479"
,SJF,True,**842**,**3.76**,"**11,409**"
,,False,851,3.95,"11,418"
,UNICEP,True,**844**,**3.73**,"**11,410**"
,,False,846,3.76,"11,413"
