Algorithm,Avg Wait (s),Avg Slowdown,Avg Turnaround (s),Max Wait (s),Max Slowdown,CPU Util,GPU Util
MaskablePPO,846 ± 9,**3.64 ± 0.03**,"11,413 ± 9","31,442 ± 153","**2,261 ± 58**",**0.1172 ± 0.0000**,**0.2612 ± 0.0000**
MaskableDQN,"45,729 ± 40,335",853.29 ± 810.96,"56,296 ± 40,335","19,003,961 ± 12,150,302","1,182,525 ± 1,035,356",0.1095 ± 0.0055,0.2440 ± 0.0123
MaskableA2C,"24,520,863 ± 77,476,701","670,447.13 ± 2,118,679.67","24,531,430 ± 77,476,701","51,687,957 ± 161,407,893","5,128,953 ± 16,058,567",0.1060 ± 0.0349,0.2361 ± 0.0778
PPO†,**818 ± 9**,3.66 ± 0.01,"**11,241 ± 25**","**30,684 ± 0**","2,291 ± 0",0.1158 ± 0.0002,0.2559 ± 0.0009
DQN†,"19,328 ± 51,265","446.45 ± 1,125.33","29,736 ± 51,262","5,263,952 ± 10,301,905","284,036 ± 761,632",0.1152 ± 0.0017,0.2542 ± 0.0036
A2C†,"4,274 ± 10,923",66.55 ± 198.87,"14,706 ± 10,970","521,773 ± 1,552,986","41,571 ± 123,972",0.1154 ± 0.0009,0.2550 ± 0.0014
LCFS,912,3.75,"11,479","32,083","2,907",**0.1172**,**0.2612**
SJF,851,3.95,"11,418","31,513","2,291",**0.1172**,**0.2612**
UNICEP,846,3.76,"11,413","31,513","2,291",**0.1172**,**0.2612**
Random (masked),"1,170 ± 26",7.23 ± 0.29,"11,737 ± 26","678,917 ± 237,272","7,004 ± 3,476",0.1172 ± 0.0000,0.2612 ± 0.0000
