Metric,Heuristic,Heuristic value,DRL mean,Δ%,p,DRL better
Avg waiting,LCFS,911.804,846.118,-7.2%,0.0020,Yes
Avg slowdown,LCFS,3.753,3.641,-3.0%,0.0020,Yes
Avg turnaround,LCFS,"11,478.724","11,413.038",-0.6%,0.0020,Yes
Max waiting,LCFS,"32,083.000","31,441.500",-2.0%,0.0020,Yes
Max slowdown,LCFS,"2,907.200","2,260.730",-22.2%,0.0020,Yes
CPU utilisation,LCFS,0.117,0.117,+0.0%,---,---
Avg waiting,SJF,851.140,846.118,-0.6%,0.4316,Yes
Avg slowdown,SJF,3.955,3.641,-7.9%,0.0020,Yes
Avg turnaround,SJF,"11,418.060","11,413.038",-0.0%,0.4316,Yes
Max waiting,SJF,"31,513.000","31,441.500",-0.2%,0.3223,Yes
Max slowdown,SJF,"2,290.900","2,260.730",-1.3%,0.1934,Yes
CPU utilisation,SJF,0.117,0.117,+0.0%,---,---
Avg waiting,UNICEP,845.654,846.118,+0.1%,1.0000,No
Avg slowdown,UNICEP,3.759,3.641,-3.1%,0.0020,Yes
Avg turnaround,UNICEP,"11,412.575","11,413.038",+0.0%,1.0000,No
Max waiting,UNICEP,"31,513.000","31,441.500",-0.2%,0.3223,Yes
Max slowdown,UNICEP,"2,290.900","2,260.730",-1.3%,0.1934,Yes
CPU utilisation,UNICEP,0.117,0.117,+0.0%,---,---
