Algorithm,Avg Wait (s),Avg Slowdown,Avg Turnaround (s),Max Wait (s),Max Slowdown,CPU Util
MaskablePPO,"2,243 ± 41",7.49 ± 0.34,"10,985 ± 41","69,126 ± 18,255","2,918 ± 44",0.1057 ± 0.0000
MaskableDQN,"4,474 ± 1,684",116.39 ± 85.42,"13,216 ± 1,684","2,065,995 ± 1,309,114","193,701 ± 122,640",0.0982 ± 0.0070
MaskableA2C,"2,223 ± 42",7.36 ± 0.14,"10,965 ± 42","49,881 ± 17,225","2,966 ± 67",0.1057 ± 0.0000
PPO†,"8,470 ± 6,177",125.33 ± 120.52,"17,065 ± 6,159","47,693 ± 13,031","4,060 ± 949",0.0974 ± 0.0029
DQN†,"6,229 ± 4,478",87.23 ± 84.90,"14,820 ± 4,495","54,745 ± 40,343","5,325 ± 4,034",0.0980 ± 0.0027
A2C†,"5,500 ± 4,816",63.99 ± 92.35,"14,094 ± 4,803","**34,767 ± 6,897**","3,357 ± 531",0.0968 ± 0.0006
LCFS,"**2,090**",**5.88**,"**10,832**","58,418","3,096",**0.1060**
SJF,"2,176",8.14,"10,918","69,909","3,060",0.1051
UNICEP,"2,499",15.87,"11,241","63,851","3,513",0.1053
Random (masked),"2,166 ± 76",6.01 ± 0.19,"10,908 ± 76","53,819 ± 18,028","**2,599 ± 175**",0.1058 ± 0.0001
