Metric,Heuristic,Heuristic value,DRL mean,Δ%,p,DRL better
Avg waiting,LCFS,"2,089.783","2,222.828",+6.4%,0.0020,No
Avg slowdown,LCFS,5.883,7.360,+25.1%,0.0020,No
Avg turnaround,LCFS,"10,831.692","10,964.736",+1.2%,0.0020,No
Max waiting,LCFS,"58,418.000","49,881.000",-14.6%,0.2227,Yes
Max slowdown,LCFS,"3,095.636","2,966.227",-4.2%,0.0020,Yes
CPU utilisation,LCFS,0.106,0.106,-0.3%,0.0020,No
Avg waiting,SJF,"2,176.480","2,222.828",+2.1%,0.0039,No
Avg slowdown,SJF,8.142,7.360,-9.6%,0.0020,Yes
Avg turnaround,SJF,"10,918.388","10,964.736",+0.4%,0.0039,No
Max waiting,SJF,"69,909.000","49,881.000",-28.6%,0.0059,Yes
Max slowdown,SJF,"3,060.273","2,966.227",-3.1%,0.0039,Yes
CPU utilisation,SJF,0.105,0.106,+0.6%,0.0020,Yes
Avg waiting,UNICEP,"2,498.839","2,222.828",-11.0%,0.0020,Yes
Avg slowdown,UNICEP,15.872,7.360,-53.6%,0.0020,Yes
Avg turnaround,UNICEP,"11,240.747","10,964.736",-2.5%,0.0020,Yes
Max waiting,UNICEP,"63,851.000","49,881.000",-21.9%,0.0781,Yes
Max slowdown,UNICEP,"3,512.900","2,966.227",-15.6%,0.0020,Yes
CPU utilisation,UNICEP,0.105,0.106,+0.4%,0.0020,Yes
