treatment_id,algorithm,use_masking,seed,split_id,episode_reward_mean,episode_reward_std,max_waiting_mean,max_waiting_std,avg_waiting_mean,avg_waiting_std,max_slowdown_mean,max_slowdown_std,avg_slowdown_mean,avg_slowdown_std,avg_turnaround_mean,avg_turnaround_std,cpu_utilization_mean,cpu_utilization_std,gpu_utilization_mean,gpu_utilization_std,decision_count_mean,decision_count_std,decision_latency_mean_ms_mean,decision_latency_mean_ms_std,eval_wall_s_mean,eval_wall_s_std
a2c__mask_false,a2c,False,16843,physical_job_r70,-811673.740399,,49481.000000,,14322.627369,,4522.500000,,239.639078,,22899.119103,,0.096296,,0.000000,,590967.000000,,18.876913,,15845.535214,
a2c__mask_false,a2c,False,20603,physical_job_r70,-809724.856056,,45884.000000,,14432.101941,,4162.800000,,227.395086,,22994.458794,,0.095416,,0.000000,,590608.000000,,18.434567,,18948.069961,
a2c__mask_false,a2c,False,21095,physical_job_r70,-807114.657708,,32818.000000,,2242.578825,,3241.300000,,8.858306,,10836.449255,,0.097088,,0.000000,,591517.000000,,18.986308,,17739.104161,
a2c__mask_false,a2c,False,21385,physical_job_r70,-806602.086577,,31397.000000,,2921.190850,,3092.700000,,12.855272,,11520.346023,,0.097086,,0.000000,,591410.000000,,24.434201,,21167.095108,
a2c__mask_false,a2c,False,35474,physical_job_r70,-807367.089494,,30002.000000,,2917.281501,,2959.700000,,12.944366,,11520.983299,,0.097602,,0.000000,,591778.000000,,22.626243,,17322.487589,
a2c__mask_false,a2c,False,45765,physical_job_r70,-805860.156122,,32226.000000,,2966.452392,,3182.100000,,13.032764,,11568.725530,,0.097044,,0.000000,,591333.000000,,19.036506,,18705.490477,
a2c__mask_false,a2c,False,57434,physical_job_r70,-805678.032204,,31397.000000,,2923.236816,,3092.700000,,12.863575,,11528.253370,,0.097086,,0.000000,,591354.000000,,20.971851,,19607.206300,
a2c__mask_false,a2c,False,170797,physical_job_r70,-805725.178403,,31397.000000,,2923.087014,,3092.700000,,12.862967,,11527.674183,,0.097086,,0.000000,,591357.000000,,20.712229,,19383.824530,
a2c__mask_false,a2c,False,210169,physical_job_r70,-806662.739634,,31397.000000,,2920.592572,,3092.700000,,12.852844,,11518.032428,,0.097087,,0.000000,,591425.000000,,22.489773,,19789.153089,
a2c__mask_false,a2c,False,250564,physical_job_r70,-806344.063801,,31669.000000,,6430.102437,,3126.400000,,86.549129,,15026.531702,,0.096636,,0.000000,,590855.000000,,22.798511,,21031.450267,
dqn__mask_false,dqn,False,16843,physical_job_r70,-808035.102606,,31920.000000,,6053.893931,,3151.500000,,81.482098,,14789.335564,,0.105568,,0.000000,,591370.000000,,2.645714,,4403.805113,
