metric,treatment_a,treatment_b,delta,p_value
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,49.467980,0.003906
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,110.473295,0.003906
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,171.478610,0.003906
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,232.483926,0.003906
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,293.489241,0.003906
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,354.494556,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,415.499872,0.037109
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,476.505187,0.037109
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,537.510503,0.037109
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,598.515818,0.037109
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,659.521133,0.130859
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,720.526449,0.921875
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,781.531764,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,842.537080,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,903.542395,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,964.547710,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1025.553026,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1086.558341,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1147.563656,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1208.568972,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1269.574287,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1330.579603,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1391.584918,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1452.590233,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1513.595549,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1574.600864,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1635.606180,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1696.611495,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1757.616810,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1818.622126,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1879.627441,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,1940.632756,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2001.638072,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2062.643387,1.000000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2123.648703,0.921875
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2184.654018,0.921875
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2245.659333,0.921875
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2306.664649,0.921875
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2367.669964,0.921875
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2428.675280,0.695312
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2489.680595,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2550.685910,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2611.691226,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2672.696541,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2733.701856,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2794.707172,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2855.712487,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2916.717803,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,2977.723118,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3038.728433,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3099.733749,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3160.739064,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3221.744380,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3282.749695,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3343.755010,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3404.760326,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3465.765641,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3526.770956,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3587.776272,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3648.781587,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3709.786903,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3770.792218,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3831.797533,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3892.802849,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,3953.808164,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4014.813480,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4075.818795,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4136.824110,0.492188
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4197.829426,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4258.834741,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4319.840056,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4380.845372,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4441.850687,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4502.856003,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4563.861318,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4624.866633,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4685.871949,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4746.877264,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4807.882580,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4868.887895,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4929.893210,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4990.898526,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5051.903841,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5112.909156,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5173.914472,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5234.919787,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5295.925103,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5356.930418,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5417.935733,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5478.941049,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5539.946364,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5600.951680,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5661.956995,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5722.962310,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5783.967626,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5844.972941,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5905.978256,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,5966.983572,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6027.988887,0.431641
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6088.994203,0.375000
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6149.999518,0.322266
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6211.004833,0.322266
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6272.010149,0.322266
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6333.015464,0.322266
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6394.020780,0.232422
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6455.026095,0.037109
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6516.031410,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6577.036726,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6638.042041,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6699.047357,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6760.052672,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6821.057987,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6882.063303,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,6943.068618,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7004.073933,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7065.079249,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7126.084564,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7187.089880,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7248.095195,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7309.100510,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7370.105826,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7431.111141,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7492.116457,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7553.121772,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7614.127087,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7675.132403,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7736.137718,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7797.143033,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7858.148349,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7919.153664,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,7980.158980,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8041.164295,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8102.169610,0.019531
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8163.174926,0.013672
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8224.180241,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8285.185557,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8346.190872,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8407.196187,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8468.201503,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8529.206818,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8590.212133,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8651.217449,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8712.222764,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8773.228080,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8834.233395,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8895.238710,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,8956.244026,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9017.249341,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9078.254657,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9139.259972,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9200.265287,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9261.270603,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9322.275918,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9383.281233,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9444.286549,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9505.291864,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9566.297180,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9627.302495,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9688.307810,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9749.313126,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9810.318441,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9871.323757,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9932.329072,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,9993.334387,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10054.339703,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10115.345018,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10176.350333,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10237.355649,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10298.360964,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10359.366280,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10420.371595,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10481.376910,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10542.382226,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10603.387541,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10664.392857,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10725.398172,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10786.403487,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10847.408803,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10908.414118,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,10969.419433,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11030.424749,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11091.430064,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11152.435380,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11213.440695,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11274.446010,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11335.451326,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11396.456641,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11457.461957,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11518.467272,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11579.472587,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11640.477903,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11701.483218,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11762.488533,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11823.493849,0.009766
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,11884.499164,0.009766
