metric_name,treatment_a,treatment_b,ci_low,ci_high,alpha,achieved_alpha,method,n_pairs
avg_waiting,a2c__mask_false,dqn__mask_false,-5888.838096,4179.622598,0.050000,0.048828,exact,10
avg_waiting,a2c__mask_false,maskable_a2c__mask_true,658.639003,6463.109763,0.050000,0.048828,exact,10
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-2568.259039,5158.884306,0.050000,0.048828,exact,10
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,627.915311,6435.809173,0.050000,0.048828,exact,10
avg_waiting,a2c__mask_false,ppo__mask_false,-11403.396297,6095.998822,0.050000,0.048828,exact,10
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,839.759663,7438.718045,0.050000,0.048828,exact,10
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-2505.576437,5758.844774,0.050000,0.048828,exact,10
avg_waiting,dqn__mask_false,maskable_ppo__mask_true,742.466365,7454.092870,0.050000,0.048828,exact,10
avg_waiting,dqn__mask_false,ppo__mask_false,-9896.322112,3989.931030,0.050000,0.048828,exact,10
avg_waiting,maskable_a2c__mask_true,maskable_dqn__mask_true,-3548.987172,-699.662198,0.050000,0.048828,exact,10
avg_waiting,maskable_a2c__mask_true,maskable_ppo__mask_true,-65.475719,13.256401,0.050000,0.048828,exact,10
avg_waiting,maskable_a2c__mask_true,ppo__mask_false,-12095.506450,-396.852244,0.050000,0.048828,exact,10
avg_waiting,maskable_dqn__mask_true,maskable_ppo__mask_true,707.298409,3520.624614,0.050000,0.048828,exact,10
avg_waiting,maskable_dqn__mask_true,ppo__mask_false,-9661.338223,1606.420604,0.050000,0.048828,exact,10
avg_waiting,maskable_ppo__mask_true,ppo__mask_false,-12070.544319,-360.218257,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,dqn__mask_false,-114.055555,79.182360,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,maskable_a2c__mask_true,5.336945,118.942270,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,maskable_dqn__mask_true,-153.518037,46.439762,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,maskable_ppo__mask_true,4.768298,118.965149,0.050000,0.048828,exact,10
avg_slowdown,a2c__mask_false,ppo__mask_false,-226.791156,109.273030,0.050000,0.048828,exact,10
avg_slowdown,dqn__mask_false,maskable_a2c__mask_true,23.997290,149.182411,0.050000,0.048828,exact,10
avg_slowdown,dqn__mask_false,maskable_dqn__mask_true,-139.127554,55.997179,0.050000,0.048828,exact,10
avg_slowdown,dqn__mask_false,maskable_ppo__mask_true,23.470426,149.368427,0.050000,0.048828,exact,10
avg_slowdown,dqn__mask_false,ppo__mask_false,-172.402763,75.775988,0.050000,0.048828,exact,10
avg_slowdown,maskable_a2c__mask_true,maskable_dqn__mask_true,-184.569878,-30.000931,0.050000,0.048828,exact,10
avg_slowdown,maskable_a2c__mask_true,maskable_ppo__mask_true,-0.398159,0.089799,0.050000,0.048828,exact,10
avg_slowdown,maskable_a2c__mask_true,ppo__mask_false,-232.160795,-4.608888,0.050000,0.048828,exact,10
avg_slowdown,maskable_dqn__mask_true,maskable_ppo__mask_true,30.049806,184.244994,0.050000,0.048828,exact,10
avg_slowdown,maskable_dqn__mask_true,ppo__mask_false,-122.253943,106.111216,0.050000,0.048828,exact,10
avg_slowdown,maskable_ppo__mask_true,ppo__mask_false,-231.922856,-4.512165,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,dqn__mask_false,-59409.500000,8179.500000,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,maskable_a2c__mask_true,-32622.500000,5129.500000,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,maskable_dqn__mask_true,-2940527.500000,-1341149.000000,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,maskable_ppo__mask_true,-48739.000000,-21524.000000,0.050000,0.048828,exact,10
max_waiting,a2c__mask_false,ppo__mask_false,-19127.000000,-2509.000000,0.050000,0.048828,exact,10
max_waiting,dqn__mask_false,maskable_a2c__mask_true,-22119.000000,36962.000000,0.050000,0.048828,exact,10
max_waiting,dqn__mask_false,maskable_dqn__mask_true,-2883831.000000,-1349045.500000,0.050000,0.048828,exact,10
max_waiting,dqn__mask_false,maskable_ppo__mask_true,-38642.000000,22541.000000,0.050000,0.048828,exact,10
max_waiting,dqn__mask_false,ppo__mask_false,-18991.500000,41780.500000,0.050000,0.048828,exact,10
max_waiting,maskable_a2c__mask_true,maskable_dqn__mask_true,-2926818.500000,-1326114.500000,0.050000,0.048828,exact,10
max_waiting,maskable_a2c__mask_true,maskable_ppo__mask_true,-38986.500000,0.000000,0.050000,0.048828,exact,10
max_waiting,maskable_a2c__mask_true,ppo__mask_false,-8493.000000,13569.000000,0.050000,0.048828,exact,10
max_waiting,maskable_dqn__mask_true,maskable_ppo__mask_true,1306017.500000,2908435.500000,0.050000,0.048828,exact,10
max_waiting,maskable_dqn__mask_true,ppo__mask_false,1334307.500000,2924006.000000,0.050000,0.048828,exact,10
max_waiting,maskable_ppo__mask_true,ppo__mask_false,7012.000000,35714.500000,0.050000,0.048828,exact,10
max_slowdown,a2c__mask_false,dqn__mask_false,-5967.350000,625.400000,0.050000,0.048828,exact,10
max_slowdown,a2c__mask_false,maskable_a2c__mask_true,103.172727,807.827273,0.050000,0.048828,exact,10
max_slowdown,a2c__mask_false,maskable_dqn__mask_true,-276669.700000,-127660.300000,0.050000,0.048828,exact,10
max_slowdown,a2c__mask_false,maskable_ppo__mask_true,158.700000,902.100000,0.050000,0.048828,exact,10
max_slowdown,a2c__mask_false,ppo__mask_false,-1496.300000,147.100000,0.050000,0.048828,exact,10
max_slowdown,dqn__mask_false,maskable_a2c__mask_true,50.854546,6120.959091,0.050000,0.048828,exact,10
max_slowdown,dqn__mask_false,maskable_dqn__mask_true,-270117.750000,-127678.050000,0.050000,0.048828,exact,10
max_slowdown,dqn__mask_false,maskable_ppo__mask_true,85.463636,6224.095455,0.050000,0.048828,exact,10
max_slowdown,dqn__mask_false,ppo__mask_false,-843.950000,4724.350000,0.050000,0.048828,exact,10
max_slowdown,maskable_a2c__mask_true,maskable_dqn__mask_true,-276712.900000,-127673.454545,0.050000,0.048828,exact,10
max_slowdown,maskable_a2c__mask_true,maskable_ppo__mask_true,6.954545,100.681818,0.050000,0.048828,exact,10
max_slowdown,maskable_a2c__mask_true,ppo__mask_false,-1560.318182,-282.272727,0.050000,0.048828,exact,10
max_slowdown,maskable_dqn__mask_true,maskable_ppo__mask_true,127743.863636,276732.263636,0.050000,0.048828,exact,10
max_slowdown,maskable_dqn__mask_true,ppo__mask_false,126164.000000,275888.300000,0.050000,0.048828,exact,10
max_slowdown,maskable_ppo__mask_true,ppo__mask_false,-1651.590909,-257.181818,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,dqn__mask_false,-5905.584826,4115.191569,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,maskable_a2c__mask_true,519.718076,6304.888071,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,maskable_dqn__mask_true,-2706.022951,4996.368970,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,maskable_ppo__mask_true,487.435401,6276.215774,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,ppo__mask_false,-11380.513560,6084.414456,0.050000,0.048828,exact,10
avg_turnaround,dqn__mask_false,maskable_a2c__mask_true,615.832257,7294.425877,0.050000,0.048828,exact,10
avg_turnaround,dqn__mask_false,maskable_dqn__mask_true,-2673.981131,5607.797184,0.050000,0.048828,exact,10
avg_turnaround,dqn__mask_false,maskable_ppo__mask_true,521.570111,7309.800703,0.050000,0.048828,exact,10
avg_turnaround,dqn__mask_false,ppo__mask_false,-9898.187462,4191.978018,0.050000,0.048828,exact,10
avg_turnaround,maskable_a2c__mask_true,maskable_dqn__mask_true,-3548.987172,-699.662198,0.050000,0.048828,exact,10
avg_turnaround,maskable_a2c__mask_true,maskable_ppo__mask_true,-65.475719,13.256401,0.050000,0.048828,exact,10
avg_turnaround,maskable_a2c__mask_true,ppo__mask_false,-11932.080833,-320.242874,0.050000,0.048828,exact,10
avg_turnaround,maskable_dqn__mask_true,maskable_ppo__mask_true,707.298410,3520.624614,0.050000,0.048828,exact,10
avg_turnaround,maskable_dqn__mask_true,ppo__mask_false,-9494.570112,1787.295811,0.050000,0.048828,exact,10
avg_turnaround,maskable_ppo__mask_true,ppo__mask_false,-11905.343088,-261.000769,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,dqn__mask_false,-0.004626,0.000019,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,maskable_a2c__mask_true,-0.009481,-0.008632,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,maskable_dqn__mask_true,-0.006919,0.003470,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,maskable_ppo__mask_true,-0.009486,-0.008643,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,ppo__mask_false,-0.004134,0.000791,0.050000,0.048828,exact,10
cpu_utilization,dqn__mask_false,maskable_a2c__mask_true,-0.008682,-0.004429,0.050000,0.048828,exact,10
cpu_utilization,dqn__mask_false,maskable_dqn__mask_true,-0.006158,0.005118,0.050000,0.048828,exact,10
cpu_utilization,dqn__mask_false,maskable_ppo__mask_true,-0.008698,-0.004419,0.050000,0.048828,exact,10
cpu_utilization,dqn__mask_false,ppo__mask_false,-0.003947,0.004942,0.050000,0.048828,exact,10
cpu_utilization,maskable_a2c__mask_true,maskable_dqn__mask_true,0.002052,0.013241,0.050000,0.048828,exact,10
cpu_utilization,maskable_a2c__mask_true,maskable_ppo__mask_true,-0.000015,0.000005,0.050000,0.048828,exact,10
cpu_utilization,maskable_a2c__mask_true,ppo__mask_false,0.004745,0.009451,0.050000,0.048828,exact,10
cpu_utilization,maskable_dqn__mask_true,maskable_ppo__mask_true,-0.013246,-0.002063,0.050000,0.048828,exact,10
cpu_utilization,maskable_dqn__mask_true,ppo__mask_false,-0.005506,0.007393,0.050000,0.048828,exact,10
cpu_utilization,maskable_ppo__mask_true,ppo__mask_false,0.004760,0.009457,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,dqn__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,maskable_a2c__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,maskable_dqn__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,maskable_ppo__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,maskable_a2c__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,maskable_dqn__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,maskable_ppo__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,maskable_dqn__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,maskable_ppo__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_a2c__mask_true,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_dqn__mask_true,maskable_ppo__mask_true,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_dqn__mask_true,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
gpu_utilization,maskable_ppo__mask_true,ppo__mask_false,0.000000,0.000000,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,dqn__mask_false,-45989.830074,2575.653160,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_a2c__mask_true,-808625.539733,-805951.372825,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_dqn__mask_true,-806749.262473,-802871.539204,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,maskable_ppo__mask_true,-808600.672924,-805924.671362,0.050000,0.048828,exact,10
episode_reward,a2c__mask_false,ppo__mask_false,-873.660165,4872.004801,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_a2c__mask_true,-809352.808524,-760319.760640,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_dqn__mask_true,-807325.602265,-756629.342888,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,maskable_ppo__mask_true,-809350.376037,-760319.253155,0.050000,0.048828,exact,10
episode_reward,dqn__mask_false,ppo__mask_false,-1507.848657,49716.244303,0.050000,0.048828,exact,10
episode_reward,maskable_a2c__mask_true,maskable_dqn__mask_true,912.610946,3298.799300,0.050000,0.048828,exact,10
episode_reward,maskable_a2c__mask_true,maskable_ppo__mask_true,0.507485,83.770430,0.050000,0.048828,exact,10
