metric_name,treatment_a,treatment_b,mean_rank_a,mean_rank_b,rank_diff,p_value,significant
avg_waiting,a2c__mask_false,dqn__mask_false,4.100000,4.500000,-0.400000,0.996916,False
avg_waiting,a2c__mask_false,maskable_a2c__mask_true,4.100000,1.900000,2.200000,0.090215,False
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,4.100000,4.400000,-0.300000,0.999227,False
avg_waiting,a2c__mask_false,maskable_ppo__mask_true,4.100000,1.700000,2.400000,0.047403,True
avg_waiting,a2c__mask_false,ppo__mask_false,4.100000,4.400000,-0.300000,0.999227,False
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,4.500000,1.900000,2.600000,0.023199,True
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,4.500000,4.400000,0.100000,0.999997,False
avg_waiting,dqn__mask_false,maskable_ppo__mask_true,4.500000,1.700000,2.800000,0.010603,True
avg_waiting,dqn__mask_false,ppo__mask_false,4.500000,4.400000,0.100000,0.999997,False
avg_waiting,maskable_a2c__mask_true,maskable_dqn__mask_true,1.900000,4.400000,-2.500000,0.033452,True
avg_waiting,maskable_a2c__mask_true,maskable_ppo__mask_true,1.900000,1.700000,0.200000,0.999894,False
avg_waiting,maskable_a2c__mask_true,ppo__mask_false,1.900000,4.400000,-2.500000,0.033452,True
avg_waiting,maskable_dqn__mask_true,maskable_ppo__mask_true,4.400000,1.700000,2.700000,0.015816,True
avg_waiting,maskable_dqn__mask_true,ppo__mask_false,4.400000,4.400000,0.000000,1.000000,False
avg_waiting,maskable_ppo__mask_true,ppo__mask_false,1.700000,4.400000,-2.700000,0.015816,True
avg_slowdown,a2c__mask_false,dqn__mask_false,4.200000,4.500000,-0.300000,0.999227,False
avg_slowdown,a2c__mask_false,maskable_a2c__mask_true,4.200000,1.600000,2.600000,0.023199,True
avg_slowdown,a2c__mask_false,maskable_dqn__mask_true,4.200000,4.500000,-0.300000,0.999227,False
avg_slowdown,a2c__mask_false,maskable_ppo__mask_true,4.200000,1.800000,2.400000,0.047403,True
avg_slowdown,a2c__mask_false,ppo__mask_false,4.200000,4.400000,-0.200000,0.999894,False
avg_slowdown,dqn__mask_false,maskable_a2c__mask_true,4.500000,1.600000,2.900000,0.006992,True
avg_slowdown,dqn__mask_false,maskable_dqn__mask_true,4.500000,4.500000,0.000000,1.000000,False
avg_slowdown,dqn__mask_false,maskable_ppo__mask_true,4.500000,1.800000,2.700000,0.015816,True
avg_slowdown,dqn__mask_false,ppo__mask_false,4.500000,4.400000,0.100000,0.999997,False
avg_slowdown,maskable_a2c__mask_true,maskable_dqn__mask_true,1.600000,4.500000,-2.900000,0.006992,True
avg_slowdown,maskable_a2c__mask_true,maskable_ppo__mask_true,1.600000,1.800000,-0.200000,0.999894,False
avg_slowdown,maskable_a2c__mask_true,ppo__mask_false,1.600000,4.400000,-2.800000,0.010603,True
avg_slowdown,maskable_dqn__mask_true,maskable_ppo__mask_true,4.500000,1.800000,2.700000,0.015816,True
avg_slowdown,maskable_dqn__mask_true,ppo__mask_false,4.500000,4.400000,0.100000,0.999997,False
